scenario,kw_wind,sol,cost_dh,voltage_deviation_pu,emissions_ton_h
Base (sem vento),0,59,14735.544914,2.774771,41860.273390
Base (sem vento),0,60,14546.648370,1.537353,49594.465345
Base (sem vento),0,61,16819.180539,0.259509,60192.346094
Base (sem vento),0,62,15258.251848,2.837743,40892.506074
Base (sem vento),0,63,14601.147088,2.292422,45483.308576
Base (sem vento),0,64,17157.106103,0.478099,49707.435530
Base (sem vento),0,65,17199.769344,0.111579,66536.565424
Base (sem vento),0,66,16841.300152,0.123221,71558.209911
Base (sem vento),0,67,13550.573302,1.554001,57956.817492
Base (sem vento),0,68,15436.229777,1.070362,50016.451029
Base (sem vento),0,69,16901.349829,0.161623,68190.834823
Base (sem vento),0,70,15597.014080,0.086516,75100.046855
Base (sem vento),0,71,15502.687175,1.590904,43765.735377
Base (sem vento),0,72,13501.321147,1.898886,54698.267815
Base (sem vento),0,73,13226.261318,1.860601,56967.511726
Base (sem vento),0,74,13580.689038,1.829224,54758.550877
Base (sem vento),0,75,16657.517766,0.096200,74002.566422
Base (sem vento),0,76,13613.331267,3.059999,49010.418638
Base (sem vento),0,77,14428.381929,0.598414,61418.380041
Base (sem vento),0,78,16498.749232,0.211782,61811.245019
Base (sem vento),0,79,16737.354788,0.174305,61077.741246
Base (sem vento),0,80,15135.856672,0.826728,53841.432461
"h17 — 2,3% (99 MW)",99400,1,19159.207465,0.086446,57505.298201
"h17 — 2,3% (99 MW)",99400,2,13039.408348,3.293241,50060.054749
"h17 — 2,3% (99 MW)",99400,3,12480.403607,3.047465,65777.295996
"h17 — 2,3% (99 MW)",99400,4,15892.418646,0.084927,77624.745245
"h17 — 2,3% (99 MW)",99400,5,16130.420915,2.822665,35876.191696
"h17 — 2,3% (99 MW)",99400,6,15927.663724,0.046530,76809.778389
"h17 — 2,3% (99 MW)",99400,7,18753.638909,0.097758,58874.897541
"h17 — 2,3% (99 MW)",99400,8,13702.512522,0.596322,67038.368768
"h17 — 2,3% (99 MW)",99400,9,15129.895135,0.153605,74016.259168
"h17 — 2,3% (99 MW)",99400,10,18443.473220,0.137986,53982.915741
"h17 — 2,3% (99 MW)",99400,11,12771.756551,2.046301,65991.821984
"h17 — 2,3% (99 MW)",99400,12,13281.634532,1.717783,55462.282972
"h17 — 2,3% (99 MW)",99400,13,12628.276723,2.078273,62426.661116
"h17 — 2,3% (99 MW)",99400,14,13412.055397,2.338626,52710.360761
"h17 — 2,3% (99 MW)",99400,15,13193.071020,3.179973,50640.822550
"h17 — 2,3% (99 MW)",99400,16,14201.417509,2.966212,44018.203324
"h17 — 2,3% (99 MW)",99400,17,14329.509860,2.506039,41309.955296
"h17 — 2,3% (99 MW)",99400,18,14900.821299,1.467810,43118.327386
"h17 — 2,3% (99 MW)",99400,19,14863.929613,2.672048,40813.965301
"h17 — 2,3% (99 MW)",99400,20,16291.746067,2.170575,36759.436225
"h17 — 2,3% (99 MW)",99400,21,12906.806897,1.384250,58246.962772
"h17 — 2,3% (99 MW)",99400,22,13347.847528,0.976247,63360.751278
"h17 — 2,3% (99 MW)",99400,23,17456.343908,0.209612,52936.713249
"h17 — 2,3% (99 MW)",99400,24,13219.711111,1.062975,69845.848949
"h17 — 2,3% (99 MW)",99400,25,13623.297623,0.757967,64958.261093
"h17 — 2,3% (99 MW)",99400,26,16623.956035,0.064035,73072.891780
"h17 — 2,3% (99 MW)",99400,27,15911.994546,0.048562,76567.485842
"h17 — 2,3% (99 MW)",99400,28,13064.515233,2.565579,51844.974067
"h17 — 2,3% (99 MW)",99400,29,13890.420883,1.485264,51820.809464
"h17 — 2,3% (99 MW)",99400,30,13510.065292,1.326421,54040.579263
"h17 — 2,3% (99 MW)",99400,31,15200.939921,0.243989,64263.423244
"h17 — 2,3% (99 MW)",99400,32,14763.138587,2.227820,41772.847752
"h17 — 2,3% (99 MW)",99400,33,13652.753885,0.631927,68517.851398
"h17 — 2,3% (99 MW)",99400,34,14973.649741,1.129597,45958.055895
"h17 — 2,3% (99 MW)",99400,35,13933.220220,1.801046,47047.188588
"h17 — 2,3% (99 MW)",99400,36,14604.909211,0.654217,59952.871432
"h17 — 2,3% (99 MW)",99400,37,12486.720230,3.109182,61846.284572
"h17 — 2,3% (99 MW)",99400,38,18207.141458,0.148608,54590.010841
"h17 — 2,3% (99 MW)",99400,39,13483.554372,2.902472,51291.844533
"h17 — 2,3% (99 MW)",99400,40,17880.397832,0.334705,46192.760444
"h17 — 2,3% (99 MW)",99400,41,16527.344766,0.065328,68974.881179
"h17 — 2,3% (99 MW)",99400,42,15698.427758,2.769175,38017.543734
"h17 — 2,3% (99 MW)",99400,43,13944.298074,0.517555,60461.937813
"h17 — 2,3% (99 MW)",99400,44,14727.043186,0.842147,47651.861682
"h17 — 2,3% (99 MW)",99400,45,15692.935796,0.860062,42331.658255
"h17 — 2,3% (99 MW)",99400,46,14052.091162,1.593314,48858.708397
"h17 — 2,3% (99 MW)",99400,47,15990.127801,2.713051,36382.110110
"h17 — 2,3% (99 MW)",99400,48,14115.938249,0.419319,71460.154412
"h17 — 2,3% (99 MW)",99400,49,15455.084371,0.571522,53511.772574
"h17 — 2,3% (99 MW)",99400,50,14520.620516,0.317083,70676.125431
"h17 — 2,3% (99 MW)",99400,51,18090.545380,0.119290,56625.876066
"h17 — 2,3% (99 MW)",99400,52,14462.374325,1.562398,48632.475399
"h17 — 2,3% (99 MW)",99400,53,15279.630663,1.030600,45517.925765
"h17 — 2,3% (99 MW)",99400,54,17315.247641,0.469627,44752.450345
"h17 — 2,3% (99 MW)",99400,55,15516.198175,0.553981,52628.599771
"h17 — 2,3% (99 MW)",99400,56,13370.066013,0.888427,63041.631752
"h17 — 2,3% (99 MW)",99400,57,17776.359645,0.086957,59738.262387
"h17 — 2,3% (99 MW)",99400,58,16786.174158,0.326235,49824.023206
"h17 — 2,3% (99 MW)",99400,59,15961.279651,2.181624,38707.534330
"h17 — 2,3% (99 MW)",99400,60,16246.553817,1.246624,39824.147095
"h17 — 2,3% (99 MW)",99400,61,15045.494415,0.727384,50501.309020
"h17 — 2,3% (99 MW)",99400,62,14100.694420,1.864150,46805.849807
"h17 — 2,3% (99 MW)",99400,63,14269.908139,2.281421,44481.305808
"h17 — 2,3% (99 MW)",99400,64,16408.795020,0.369157,51231.973478
"h17 — 2,3% (99 MW)",99400,65,15300.993992,0.481303,58025.868815
"h17 — 2,3% (99 MW)",99400,66,16161.987348,1.570322,37661.735590
"h17 — 2,3% (99 MW)",99400,67,17121.679022,0.511291,44154.168897
"h17 — 2,3% (99 MW)",99400,68,14243.315455,1.181072,54881.655393
"h17 — 2,3% (99 MW)",99400,69,16066.388628,1.590785,39811.306131
"h17 — 2,3% (99 MW)",99400,70,12988.903825,1.654326,57511.695921
"h17 — 2,3% (99 MW)",99400,71,12838.786961,1.665936,62600.566283
"h17 — 2,3% (99 MW)",99400,72,12490.268223,3.069561,62038.206096
"h17 — 2,3% (99 MW)",99400,73,14458.944611,1.967491,45055.600045
"h17 — 2,3% (99 MW)",99400,74,17031.014014,0.177501,57500.892803
"h17 — 2,3% (99 MW)",99400,75,15818.158514,2.534865,38340.043636
"h17 — 2,3% (99 MW)",99400,76,15823.691785,1.215552,40422.307265
"h17 — 2,3% (99 MW)",99400,77,16952.882558,0.258466,54682.311478
"h17 — 2,3% (99 MW)",99400,78,16728.590444,0.259520,56300.257326
"h17 — 2,3% (99 MW)",99400,79,17638.828293,0.160643,56402.118608
"h17 — 2,3% (99 MW)",99400,80,18041.305302,0.178793,52789.901257
"h11 — 8,4% (357 MW)",356600,1,14498.583783,0.154904,67576.002144
"h11 — 8,4% (357 MW)",356600,2,16429.194181,0.069872,64628.250185
"h11 — 8,4% (357 MW)",356600,3,14155.415092,3.440966,30607.671602
"h11 — 8,4% (357 MW)",356600,4,17669.078085,0.094820,60868.049408
"h11 — 8,4% (357 MW)",356600,5,14184.818929,3.032887,30320.465291
"h11 — 8,4% (357 MW)",356600,6,11185.826187,2.417537,40367.630324
"h11 — 8,4% (357 MW)",356600,7,12001.033731,1.410791,39271.232562
"h11 — 8,4% (357 MW)",356600,8,13907.675860,3.284615,31677.738994
"h11 — 8,4% (357 MW)",356600,9,15232.729628,0.106482,54009.594808
"h11 — 8,4% (357 MW)",356600,10,17280.018405,0.105449,59963.837629
"h11 — 8,4% (357 MW)",356600,11,16845.508662,0.098019,62280.096781
"h11 — 8,4% (357 MW)",356600,12,11267.481482,2.017071,46908.870117
"h11 — 8,4% (357 MW)",356600,13,15767.430257,0.415465,36902.400026
"h11 — 8,4% (357 MW)",356600,14,12136.632328,0.949600,46403.499699
"h11 — 8,4% (357 MW)",356600,15,16014.969065,0.148683,49944.854772
"h11 — 8,4% (357 MW)",356600,16,13933.741435,0.186109,57981.040480
"h11 — 8,4% (357 MW)",356600,17,17439.982141,0.102314,60054.421640
"h11 — 8,4% (357 MW)",356600,18,13197.148819,0.290269,56248.020987
"h11 — 8,4% (357 MW)",356600,19,13194.401938,2.801043,32724.010287
"h11 — 8,4% (357 MW)",356600,20,12230.524667,3.145788,35825.779582
"h11 — 8,4% (357 MW)",356600,21,16745.430360,0.083254,63557.119745
"h11 — 8,4% (357 MW)",356600,22,12429.505801,2.402138,36459.150638
"h11 — 8,4% (357 MW)",356600,23,13186.918884,2.900519,32569.548269
"h11 — 8,4% (357 MW)",356600,24,15539.162462,0.131336,50352.225373
"h11 — 8,4% (357 MW)",356600,25,14458.953041,1.225935,33500.547328
"h11 — 8,4% (357 MW)",356600,26,11438.544184,1.829437,40733.568005
"h11 — 8,4% (357 MW)",356600,27,16641.803978,0.147677,48470.679254
"h11 — 8,4% (357 MW)",356600,28,12938.171241,0.561077,52375.986827
"h11 — 8,4% (357 MW)",356600,29,11397.164746,2.223382,39912.309486
"h11 — 8,4% (357 MW)",356600,30,13614.947451,1.936482,33139.990597
"h11 — 8,4% (357 MW)",356600,31,11831.460819,1.555512,39842.254484
"h11 — 8,4% (357 MW)",356600,32,13879.073755,2.137148,32464.833372
"h11 — 8,4% (357 MW)",356600,33,13452.925851,0.231010,54538.702909
"h11 — 8,4% (357 MW)",356600,34,11361.154553,1.819494,44944.889730
"h11 — 8,4% (357 MW)",356600,35,16168.030266,0.212472,42520.751841
"h11 — 8,4% (357 MW)",356600,36,15426.639312,0.242182,47654.221617
"h11 — 8,4% (357 MW)",356600,37,12871.142942,0.739742,43329.408416
"h11 — 8,4% (357 MW)",356600,38,11647.863568,1.767236,41876.723173
"h11 — 8,4% (357 MW)",356600,39,13290.087662,0.223812,66302.370649
"h11 — 8,4% (357 MW)",356600,40,11635.451632,1.533905,48725.006626
"h11 — 8,4% (357 MW)",356600,41,12282.364433,0.694802,47343.238230
"h11 — 8,4% (357 MW)",356600,42,12669.929160,2.535233,33915.649019
"h11 — 8,4% (357 MW)",356600,43,14256.425963,0.863738,38179.184979
"h11 — 8,4% (357 MW)",356600,44,12456.964710,0.928672,42694.111697
"h11 — 8,4% (357 MW)",356600,45,11746.910240,1.648591,41303.785589
"h11 — 8,4% (357 MW)",356600,46,15744.315455,0.318832,40854.898647
"h11 — 8,4% (357 MW)",356600,47,16288.324683,0.094493,62924.359279
"h11 — 8,4% (357 MW)",356600,48,12760.272168,1.688014,36450.092582
"h11 — 8,4% (357 MW)",356600,49,12815.326445,0.318168,65283.743142
"h11 — 8,4% (357 MW)",356600,50,13267.909976,2.664744,32492.012523
"h11 — 8,4% (357 MW)",356600,51,13135.109732,0.358010,51151.941734
"h11 — 8,4% (357 MW)",356600,52,11605.550896,1.537526,47795.241983
"h11 — 8,4% (357 MW)",356600,53,17668.177096,0.094826,60865.235618
"h11 — 8,4% (357 MW)",356600,54,13728.851281,2.424630,32075.107057
"h11 — 8,4% (357 MW)",356600,55,13594.959664,0.228297,58910.256776
"h11 — 8,4% (357 MW)",356600,56,12553.305990,1.120923,40457.369790
"h11 — 8,4% (357 MW)",356600,57,14944.352988,0.125006,52007.368513
"h11 — 8,4% (357 MW)",356600,58,11664.767800,2.497599,37870.932234
"h11 — 8,4% (357 MW)",356600,59,12633.050649,3.316666,34837.103143
"h11 — 8,4% (357 MW)",356600,60,13036.284313,1.036426,38868.822536
"h11 — 8,4% (357 MW)",356600,61,14715.325959,0.634751,38477.237431
"h11 — 8,4% (357 MW)",356600,62,13369.355580,0.465311,45829.102063
"h11 — 8,4% (357 MW)",356600,63,14385.713087,1.157851,34597.656251
"h11 — 8,4% (357 MW)",356600,64,14752.555825,1.045625,34448.728368
"h11 — 8,4% (357 MW)",356600,65,15055.608454,0.805166,35058.155690
"h11 — 8,4% (357 MW)",356600,66,13473.867297,0.218320,66993.791329
"h11 — 8,4% (357 MW)",356600,67,13143.256724,3.016551,32365.172829
"h11 — 8,4% (357 MW)",356600,68,17037.750766,0.071740,62884.208952
"h11 — 8,4% (357 MW)",356600,69,14906.556142,0.776613,35264.160943
"h11 — 8,4% (357 MW)",356600,70,13847.660397,0.468350,44098.748272
"h11 — 8,4% (357 MW)",356600,71,12989.598614,1.608001,35708.512633
"h11 — 8,4% (357 MW)",356600,72,17008.664398,0.081671,62694.269636
"h11 — 8,4% (357 MW)",356600,73,13800.620417,0.197706,57002.298016
"h11 — 8,4% (357 MW)",356600,74,12326.525486,3.102347,35914.708691
"h11 — 8,4% (357 MW)",356600,75,14573.495239,0.145834,57561.593021
"h11 — 8,4% (357 MW)",356600,76,13114.145675,0.364357,49228.339439
"h11 — 8,4% (357 MW)",356600,77,13134.557523,3.382489,32294.952310
"h11 — 8,4% (357 MW)",356600,78,12336.373045,2.558121,36060.312891
"h11 — 8,4% (357 MW)",356600,79,13260.610039,2.625414,32991.475487
"h11 — 8,4% (357 MW)",356600,80,14392.804622,1.078054,37626.858445
"h00 — 14,1% (600 MW)",600000,1,13019.983168,2.154245,27489.509178
"h00 — 14,1% (600 MW)",600000,2,17534.459575,0.226362,64155.213680
"h00 — 14,1% (600 MW)",600000,3,15877.396161,0.153338,80058.222125
"h00 — 14,1% (600 MW)",600000,4,11395.646379,3.658354,28519.990025
"h00 — 14,1% (600 MW)",600000,5,10004.821224,2.965914,43083.277905
"h00 — 14,1% (600 MW)",600000,6,17471.668132,0.090288,66134.299950
"h00 — 14,1% (600 MW)",600000,7,12604.609594,0.402186,58363.022187
"h00 — 14,1% (600 MW)",600000,8,16864.887314,0.188092,67829.081871
"h00 — 14,1% (600 MW)",600000,9,10155.541189,3.087140,37504.776863
"h00 — 14,1% (600 MW)",600000,10,15137.185503,0.230793,41619.620766
"h00 — 14,1% (600 MW)",600000,11,11382.101420,1.980039,29613.421336
"h00 — 14,1% (600 MW)",600000,12,10248.945189,2.148155,50422.165762
"h00 — 14,1% (600 MW)",600000,13,10357.928534,1.829978,52520.929019
"h00 — 14,1% (600 MW)",600000,14,15677.373489,0.206996,77801.843322
"h00 — 14,1% (600 MW)",600000,15,14582.962530,0.612276,31666.877946
"h00 — 14,1% (600 MW)",600000,16,16725.797222,0.219546,70498.694010
"h00 — 14,1% (600 MW)",600000,17,10432.582339,2.280807,42586.816896
"h00 — 14,1% (600 MW)",600000,18,10563.748951,3.289099,36084.786608
"h00 — 14,1% (600 MW)",600000,19,17076.003114,0.129487,71094.608412
"h00 — 14,1% (600 MW)",600000,20,11141.645010,0.496741,57224.782996
"h00 — 14,1% (600 MW)",600000,21,17248.691703,0.225751,65527.728230
"h00 — 14,1% (600 MW)",600000,22,11763.480052,0.423006,53886.479789
"h00 — 14,1% (600 MW)",600000,23,15192.728423,0.344721,33614.232683
"h00 — 14,1% (600 MW)",600000,24,13697.443799,0.287462,40333.291915
"h00 — 14,1% (600 MW)",600000,25,14543.810757,0.233113,42177.133896
"h00 — 14,1% (600 MW)",600000,26,16330.406008,0.199270,72615.927340
"h00 — 14,1% (600 MW)",600000,27,13199.442310,0.392834,36442.536908
"h00 — 14,1% (600 MW)",600000,28,10510.615786,1.773795,46452.666018
"h00 — 14,1% (600 MW)",600000,29,12490.621677,0.707846,31308.932620
"h00 — 14,1% (600 MW)",600000,30,11437.122619,2.367484,29329.482805
"h00 — 14,1% (600 MW)",600000,31,12170.134559,1.009857,32207.645091
"h00 — 14,1% (600 MW)",600000,32,11164.241955,0.898906,44538.937667
"h00 — 14,1% (600 MW)",600000,33,10276.383968,3.536481,35907.942264
"h00 — 14,1% (600 MW)",600000,34,10617.326832,1.663987,45700.675624
"h00 — 14,1% (600 MW)",600000,35,13902.117982,0.281938,40879.367845
"h00 — 14,1% (600 MW)",600000,36,10912.899832,3.463240,29962.975235
"h00 — 14,1% (600 MW)",600000,37,10844.311520,0.809956,48195.332407
"h00 — 14,1% (600 MW)",600000,38,11790.751228,2.489637,28106.750951
"h00 — 14,1% (600 MW)",600000,39,13439.455616,0.380944,37104.051149
"h00 — 14,1% (600 MW)",600000,40,11962.866728,1.333092,33777.775460
"h00 — 14,1% (600 MW)",600000,41,11864.803178,0.460864,51108.481661
"h00 — 14,1% (600 MW)",600000,42,14220.663491,0.375145,32504.421694
"h00 — 14,1% (600 MW)",600000,43,11228.215285,2.522139,30282.054079
"h00 — 14,1% (600 MW)",600000,44,10661.050928,3.340335,35853.039924
"h00 — 14,1% (600 MW)",600000,45,11975.010892,1.082245,32626.851966
"h00 — 14,1% (600 MW)",600000,46,12296.591737,1.182836,30037.549706
"h00 — 14,1% (600 MW)",600000,47,13957.781008,0.339398,34341.983153
"h00 — 14,1% (600 MW)",600000,48,10956.384459,2.748959,30615.579261
"h00 — 14,1% (600 MW)",600000,49,16608.602251,0.167309,72069.620871
"h00 — 14,1% (600 MW)",600000,50,16049.522772,0.220607,75331.932600
"h00 — 14,1% (600 MW)",600000,51,11689.004465,2.669556,28186.009289
"h00 — 14,1% (600 MW)",600000,52,16036.548685,0.135997,78204.762738
"h00 — 14,1% (600 MW)",600000,53,11328.259071,1.403148,33094.872277
"h00 — 14,1% (600 MW)",600000,54,11004.629361,0.744096,48881.605640
"h00 — 14,1% (600 MW)",600000,55,13037.113935,0.941960,28666.126688
"h00 — 14,1% (600 MW)",600000,56,13518.146359,0.760131,30100.377956
"h00 — 14,1% (600 MW)",600000,57,15786.619120,0.187126,77135.287067
"h00 — 14,1% (600 MW)",600000,58,11138.646075,0.526928,57783.432592
"h00 — 14,1% (600 MW)",600000,59,12846.568255,1.618527,29130.221268
"h00 — 14,1% (600 MW)",600000,60,10609.690877,1.727542,43307.505312
"h00 — 14,1% (600 MW)",600000,61,10972.541729,1.264267,37984.571276
"h00 — 14,1% (600 MW)",600000,62,11492.760789,2.841205,29178.917265
"h00 — 14,1% (600 MW)",600000,63,16420.769772,0.152085,72128.010789
"h00 — 14,1% (600 MW)",600000,64,17456.720739,0.098664,65910.973612
"h00 — 14,1% (600 MW)",600000,65,11614.699113,3.046382,28685.194459
"h00 — 14,1% (600 MW)",600000,66,14127.524023,0.415781,32006.813011
"h00 — 14,1% (600 MW)",600000,67,11020.144533,1.235290,39620.929687
"h00 — 14,1% (600 MW)",600000,68,11350.262214,2.869597,28961.293176
"h00 — 14,1% (600 MW)",600000,69,10801.294396,0.672870,51871.279158
"h00 — 14,1% (600 MW)",600000,70,15844.392145,0.156781,79356.233813
"h00 — 14,1% (600 MW)",600000,71,10982.477968,2.618978,30807.003787
"h00 — 14,1% (600 MW)",600000,72,10667.819652,1.183923,51699.389167
"h00 — 14,1% (600 MW)",600000,73,11563.350451,0.851538,35395.891563
"h00 — 14,1% (600 MW)",600000,74,12740.395834,1.735804,27610.225461
"h00 — 14,1% (600 MW)",600000,75,10893.360935,1.459423,37962.724976
"h00 — 14,1% (600 MW)",600000,76,16087.540531,0.212034,75553.990745
"h00 — 14,1% (600 MW)",600000,77,16324.143330,0.163928,76209.317405
"h00 — 14,1% (600 MW)",600000,78,11182.404380,0.505647,53192.690162
"h00 — 14,1% (600 MW)",600000,79,16251.989281,0.175497,75493.428030
"h00 — 14,1% (600 MW)",600000,80,12822.318105,0.425241,35081.155493
